datetime,symbol,name,side,quantity,price,amount,fee
2026-07-10 09:00:00,BTC-USDT,Bitcoin,buy,0.50,61860.84,30930.42,0.0010
2026-07-10 12:51:26,BTC-USDT,Bitcoin,sell,0.50,62163.83,31081.92,0.0010
2026-07-10 08:35:00,BTC-USDT,Bitcoin,buy,0.50,61863.46,30931.73,0.0010
2026-07-10 14:02:10,BTC-USDT,Bitcoin,sell,0.50,62112.32,31056.16,0.0010
2026-07-10 09:20:00,BTC-USDT,Bitcoin,buy,0.50,61866.83,30933.42,0.0010
2026-07-10 14:07:34,BTC-USDT,Bitcoin,sell,0.50,61748.76,30874.38,0.0010
2026-07-13 08:35:00,BTC-USDT,Bitcoin,buy,0.50,62140.27,31070.13,0.0010
2026-07-13 09:52:52,BTC-USDT,Bitcoin,sell,0.50,62390.50,31195.25,0.0010
2026-07-13 09:20:00,BTC-USDT,Bitcoin,buy,0.50,62129.98,31064.99,0.0010
2026-07-13 11:17:24,BTC-USDT,Bitcoin,sell,0.50,62027.71,31013.85,0.0010
2026-07-14 08:10:00,BTC-USDT,Bitcoin,buy,0.50,62213.69,31106.85,0.0010
2026-07-14 10:21:31,BTC-USDT,Bitcoin,sell,0.50,62103.23,31051.62,0.0010
2026-07-14 08:45:00,BTC-USDT,Bitcoin,buy,0.50,62217.50,31108.75,0.0010
2026-07-14 13:47:24,BTC-USDT,Bitcoin,sell,0.50,62334.95,31167.47,0.0010
2026-07-14 07:45:00,BTC-USDT,Bitcoin,buy,0.50,62208.73,31104.37,0.0010
2026-07-14 09:09:32,BTC-USDT,Bitcoin,sell,0.50,62323.43,31161.72,0.0010
2026-07-15 07:35:00,BTC-USDT,Bitcoin,buy,0.50,62307.05,31153.53,0.0010
2026-07-15 08:52:09,BTC-USDT,Bitcoin,sell,0.50,62630.95,31315.47,0.0010
2026-07-15 09:20:00,BTC-USDT,Bitcoin,buy,0.50,62297.82,31148.91,0.0010
2026-07-15 14:12:24,BTC-USDT,Bitcoin,sell,0.50,62614.81,31307.40,0.0010
2026-07-15 09:45:00,BTC-USDT,Bitcoin,buy,0.50,62306.02,31153.01,0.0010
2026-07-15 14:12:31,BTC-USDT,Bitcoin,sell,0.50,62550.10,31275.05,0.0010
2026-07-16 08:00:00,BTC-USDT,Bitcoin,buy,0.50,62406.54,31203.27,0.0010
2026-07-16 13:22:24,BTC-USDT,Bitcoin,sell,0.50,62656.36,31328.18,0.0010
2026-07-16 07:20:00,BTC-USDT,Bitcoin,buy,0.50,62391.33,31195.67,0.0010
2026-07-16 11:04:25,BTC-USDT,Bitcoin,sell,0.50,62709.84,31354.92,0.0010
2026-07-17 09:00:00,BTC-USDT,Bitcoin,buy,0.50,62477.99,31238.99,0.0010
2026-07-17 11:27:31,BTC-USDT,Bitcoin,sell,0.50,62801.10,31400.55,0.0010
2026-07-17 08:10:00,BTC-USDT,Bitcoin,buy,0.50,62491.68,31245.84,0.0010
2026-07-17 10:15:02,BTC-USDT,Bitcoin,sell,0.50,62606.13,31303.06,0.0010
2026-07-17 09:35:00,BTC-USDT,Bitcoin,buy,0.50,62490.82,31245.41,0.0010
2026-07-17 14:59:03,BTC-USDT,Bitcoin,sell,0.50,62606.45,31303.22,0.0010
2026-07-20 08:45:00,BTC-USDT,Bitcoin,buy,0.50,62769.35,31384.67,0.0010
2026-07-20 10:56:33,BTC-USDT,Bitcoin,sell,0.50,62955.73,31477.87,0.0010
2026-07-20 07:45:00,BTC-USDT,Bitcoin,buy,0.50,62757.46,31378.73,0.0010
2026-07-20 11:57:29,BTC-USDT,Bitcoin,sell,0.50,62950.04,31475.02,0.0010
2026-07-20 08:35:00,BTC-USDT,Bitcoin,buy,0.50,62758.78,31379.39,0.0010
2026-07-20 13:37:53,BTC-USDT,Bitcoin,sell,0.50,62639.49,31319.74,0.0010
2026-07-21 08:00:00,BTC-USDT,Bitcoin,buy,0.50,62852.22,31426.11,0.0010
2026-07-21 11:29:33,BTC-USDT,Bitcoin,sell,0.50,63154.09,31577.04,0.0010
2026-07-21 09:00:00,BTC-USDT,Bitcoin,buy,0.50,62860.19,31430.10,0.0010
2026-07-21 11:01:48,BTC-USDT,Bitcoin,sell,0.50,62756.08,31378.04,0.0010
2026-07-22 09:10:00,BTC-USDT,Bitcoin,buy,0.50,62939.63,31469.81,0.0010
2026-07-22 11:25:11,BTC-USDT,Bitcoin,sell,0.50,62827.33,31413.67,0.0010
2026-07-22 09:45:00,BTC-USDT,Bitcoin,buy,0.50,62947.17,31473.58,0.0010
2026-07-22 12:52:37,BTC-USDT,Bitcoin,sell,0.50,63269.65,31634.83,0.0010
2026-07-23 07:00:00,BTC-USDT,Bitcoin,buy,0.50,63027.76,31513.88,0.0010
2026-07-23 09:35:39,BTC-USDT,Bitcoin,sell,0.50,63162.99,31581.49,0.0010
2026-07-23 07:00:00,BTC-USDT,Bitcoin,buy,0.50,63025.95,31512.97,0.0010
2026-07-23 09:48:42,BTC-USDT,Bitcoin,sell,0.50,63161.12,31580.56,0.0010
2026-07-24 07:10:00,BTC-USDT,Bitcoin,buy,0.50,63118.03,31559.01,0.0010
2026-07-24 10:11:07,BTC-USDT,Bitcoin,sell,0.50,63428.03,31714.01,0.0010
2026-07-24 07:00:00,BTC-USDT,Bitcoin,buy,0.50,63128.99,31564.49,0.0010
2026-07-24 11:38:09,BTC-USDT,Bitcoin,sell,0.50,63245.09,31622.54,0.0010
2026-07-20 23:10:00,BTC-USDT,Bitcoin,buy,1.00,62763.82,62763.82,0.0010
2026-07-21 01:10:00,BTC-USDT,Bitcoin,sell,1.00,62513.78,62513.78,0.0010
2026-07-20 23:55:00,BTC-USDT,Bitcoin,buy,1.00,62747.82,62747.82,0.0010
2026-07-21 01:25:00,BTC-USDT,Bitcoin,sell,1.00,62517.99,62517.99,0.0010
